07-07 10:19 fdr_control  DEBUG    thresh 0.1728 | est fdr 26.5000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1714 | est fdr 27.0000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1694 | est fdr 27.5000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1670 | est fdr 28.0000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1644 | est fdr 28.5000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1636 | est fdr 29.0000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1624 | est fdr 29.5000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1615 | est fdr 30.0000 | true fdr 0.0000 | true power 0.0125
07-07 10:19 fdr_control  DEBUG    thresh 0.1604 | est fdr 20.0000 | true fdr 0.0000 | true power 0.0187
07-07 10:19 fdr_control  DEBUG    thresh 0.1597 | est fdr 20.3333 | true fdr 0.0000 | true power 0.0187
07-07 10:19 fdr_control  DEBUG    thresh 0.1584 | est fdr 20.6667 | true fdr 0.0000 | true power 0.0187
07-07 10:19 fdr_control  DEBUG    thresh 0.1558 | est fdr 21.0000 | true fdr 0.0000 | true power 0.0187
07-07 10:19 fdr_control  DEBUG    thresh 0.1545 | est fdr 21.3333 | true fdr 0.0000 | true power 0.0187
07-07 10:19 fdr_control  DEBUG    thresh 0.1542 | est fdr 16.0000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1532 | est fdr 16.2500 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1524 | est fdr 16.5000 | true fdr 0.0000 | true power 0.0250
07-07 10:19 fdr_control  DEBUG    thresh 0.1524 | est fdr 16.7500 | true fdr 0.0000 | true power 0.0250
