07-05 03:03 fdr_control  DEBUG    thresh 1.9767 | est fdr 2.0000 | true fdr 0.0000 | true power 0.0000
07-05 03:03 fdr_control  DEBUG    thresh 1.7702 | est fdr 2.0000 | true fdr 1.0000 | true power 0.0000
07-05 03:03 fdr_control  DEBUG    thresh 1.7092 | est fdr 3.0000 | true fdr 1.0000 | true power 0.0000
07-05 03:03 fdr_control  DEBUG    thresh 1.4956 | est fdr 1.5000 | true fdr 0.5000 | true power 0.0063
07-05 03:03 fdr_control  DEBUG    thresh 1.4711 | est fdr 2.0000 | true fdr 0.5000 | true power 0.0063
07-05 03:03 fdr_control  DEBUG    thresh 1.3599 | est fdr 1.3333 | true fdr 0.6667 | true power 0.0063
07-05 03:03 fdr_control  DEBUG    thresh 1.3214 | est fdr 1.0000 | true fdr 0.7500 | true power 0.0063
07-05 03:03 fdr_control  DEBUG    thresh 1.3199 | est fdr 0.8000 | true fdr 0.6000 | true power 0.0125
07-05 03:03 fdr_control  DEBUG    thresh 1.2890 | est fdr 1.0000 | true fdr 0.6000 | true power 0.0125
07-05 03:03 fdr_control  DEBUG    thresh 1.2402 | est fdr 0.8333 | true fdr 0.5000 | true power 0.0187
07-05 03:03 fdr_control  DEBUG    thresh 1.2312 | est fdr 0.7143 | true fdr 0.4286 | true power 0.0250
07-05 03:03 fdr_control  DEBUG    thresh 1.2235 | est fdr 0.6250 | true fdr 0.3750 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1804 | est fdr 0.7500 | true fdr 0.3750 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1528 | est fdr 0.8750 | true fdr 0.3750 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1384 | est fdr 0.7778 | true fdr 0.4444 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1127 | est fdr 0.7000 | true fdr 0.5000 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1040 | est fdr 0.8000 | true fdr 0.5000 | true power 0.0312
07-05 03:03 fdr_control  DEBUG    thresh 1.1004 | est fdr 0.7273 | true fdr 0.4545 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0895 | est fdr 0.8182 | true fdr 0.4545 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0881 | est fdr 0.7500 | true fdr 0.5000 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0808 | est fdr 0.8333 | true fdr 0.5000 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0675 | est fdr 0.9167 | true fdr 0.5000 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0585 | est fdr 0.8462 | true fdr 0.5385 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0540 | est fdr 0.7857 | true fdr 0.5714 | true power 0.0375
07-05 03:03 fdr_control  DEBUG    thresh 1.0399 | est fdr 0.7333 | true fdr 0.5333 | true power 0.0437
07-05 03:03 fdr_control  DEBUG    thresh 1.0344 | est fdr 0.8000 | true fdr 0.5333 | true power 0.0437
07-05 03:03 fdr_control  DEBUG    thresh 1.0211 | est fdr 0.8667 | true fdr 0.5333 | true power 0.0437
07-05 03:03 fdr_control  DEBUG    thresh 0.9855 | est fdr 0.9333 | true fdr 0.5333 | true power 0.0437
07-05 03:03 fdr_control  DEBUG    thresh 0.9410 | est fdr 1.0000 | true fdr 0.5333 | true power 0.0437
07-05 03:03 fdr_control  DEBUG    thresh 0.9373 | est fdr 0.9375 | true fdr 0.5000 | true power 0.0500
07-05 03:03 fdr_control  DEBUG    thresh 0.9269 | est fdr 0.8824 | true fdr 0.5294 | true power 0.0500
07-05 03:03 fdr_control  DEBUG    thresh 0.9120 | est fdr 0.9412 | true fdr 0.5294 | true power 0.0500
07-05 03:03 fdr_control  DEBUG    thresh 0.8958 | est fdr 0.8889 | true fdr 0.5000 | true power 0.0563
07-05 03:03 fdr_control  DEBUG    thresh 0.8889 | est fdr 0.8421 | true fdr 0.4737 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8878 | est fdr 0.8947 | true fdr 0.4737 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8868 | est fdr 0.9474 | true fdr 0.4737 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8768 | est fdr 1.0000 | true fdr 0.4737 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8745 | est fdr 0.9500 | true fdr 0.5000 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8706 | est fdr 0.9048 | true fdr 0.5238 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8694 | est fdr 0.9524 | true fdr 0.5238 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8694 | est fdr 1.0000 | true fdr 0.5238 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8675 | est fdr 0.9545 | true fdr 0.5455 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8666 | est fdr 1.0000 | true fdr 0.5455 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8663 | est fdr 0.9565 | true fdr 0.5652 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8593 | est fdr 1.0000 | true fdr 0.5652 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8575 | est fdr 1.0435 | true fdr 0.5652 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8480 | est fdr 1.0870 | true fdr 0.5652 | true power 0.0625
07-05 03:03 fdr_control  DEBUG    thresh 0.8434 | est fdr 1.0417 | true fdr 0.5417 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8430 | est fdr 1.0833 | true fdr 0.5417 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8359 | est fdr 1.0400 | true fdr 0.5600 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8233 | est fdr 1.0800 | true fdr 0.5600 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8128 | est fdr 1.0385 | true fdr 0.5769 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8078 | est fdr 1.0000 | true fdr 0.5926 | true power 0.0688
07-05 03:03 fdr_control  DEBUG    thresh 0.8070 | est fdr 0.9643 | true fdr 0.5714 | true power 0.0750
07-05 03:03 fdr_control  DEBUG    thresh 0.8042 | est fdr 0.9310 | true fdr 0.5517 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.8031 | est fdr 0.9655 | true fdr 0.5517 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7970 | est fdr 0.9333 | true fdr 0.5667 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7923 | est fdr 0.9032 | true fdr 0.5806 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7703 | est fdr 0.8750 | true fdr 0.5938 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7586 | est fdr 0.8485 | true fdr 0.6061 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7576 | est fdr 0.8788 | true fdr 0.6061 | true power 0.0813
07-05 03:03 fdr_control  DEBUG    thresh 0.7574 | est fdr 0.8529 | true fdr 0.5882 | true power 0.0875
07-05 03:03 fdr_control  DEBUG    thresh 0.7498 | est fdr 0.8286 | true fdr 0.6000 | true power 0.0875
07-05 03:03 fdr_control  DEBUG    thresh 0.7480 | est fdr 0.8056 | true fdr 0.6111 | true power 0.0875
07-05 03:03 fdr_control  DEBUG    thresh 0.7437 | est fdr 0.8333 | true fdr 0.6111 | true power 0.0875
07-05 03:03 fdr_control  DEBUG    thresh 0.7403 | est fdr 0.8108 | true fdr 0.5946 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.7312 | est fdr 0.8378 | true fdr 0.5946 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.7230 | est fdr 0.8158 | true fdr 0.6053 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.7100 | est fdr 0.8421 | true fdr 0.6053 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.7066 | est fdr 0.8684 | true fdr 0.6053 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.6998 | est fdr 0.8462 | true fdr 0.6154 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.6976 | est fdr 0.8718 | true fdr 0.6154 | true power 0.0938
07-05 03:03 fdr_control  DEBUG    thresh 0.6959 | est fdr 0.8500 | true fdr 0.6000 | true power 0.1000
07-05 03:03 fdr_control  DEBUG    thresh 0.6919 | est fdr 0.8293 | true fdr 0.6098 | true power 0.1000
07-05 03:03 fdr_control  DEBUG    thresh 0.6812 | est fdr 0.8095 | true fdr 0.5952 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6770 | est fdr 0.8333 | true fdr 0.5952 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6679 | est fdr 0.8140 | true fdr 0.6047 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6651 | est fdr 0.7955 | true fdr 0.6136 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6625 | est fdr 0.7778 | true fdr 0.6222 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6597 | est fdr 0.8000 | true fdr 0.6222 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6587 | est fdr 0.7826 | true fdr 0.6304 | true power 0.1062
07-05 03:03 fdr_control  DEBUG    thresh 0.6579 | est fdr 0.7660 | true fdr 0.6170 | true power 0.1125
07-05 03:03 fdr_control  DEBUG    thresh 0.6561 | est fdr 0.7500 | true fdr 0.6250 | true power 0.1125
07-05 03:03 fdr_control  DEBUG    thresh 0.6521 | est fdr 0.7347 | true fdr 0.6122 | true power 0.1187
07-05 03:03 fdr_control  DEBUG    thresh 0.6505 | est fdr 0.7551 | true fdr 0.6122 | true power 0.1187
07-05 03:03 fdr_control  DEBUG    thresh 0.6474 | est fdr 0.7400 | true fdr 0.6200 | true power 0.1187
07-05 03:03 fdr_control  DEBUG    thresh 0.6435 | est fdr 0.7255 | true fdr 0.6275 | true power 0.1187
07-05 03:03 fdr_control  DEBUG    thresh 0.6382 | est fdr 0.7115 | true fdr 0.6154 | true power 0.1250
