06-28 07:42 fdr_control  DEBUG    thresh 2.0237 | est fdr 1.0000 | true fdr 0.0000 | true power 0.0063
06-28 07:42 fdr_control  DEBUG    thresh 1.9633 | est fdr 0.5000 | true fdr 0.0000 | true power 0.0125
06-28 07:42 fdr_control  DEBUG    thresh 1.9265 | est fdr 0.3333 | true fdr 0.0000 | true power 0.0187
06-28 07:42 fdr_control  DEBUG    thresh 1.8872 | est fdr 0.2500 | true fdr 0.0000 | true power 0.0250
06-28 07:42 fdr_control  DEBUG    thresh 1.8709 | est fdr 0.2000 | true fdr 0.0000 | true power 0.0312
06-28 07:42 fdr_control  DEBUG    thresh 1.8576 | est fdr 0.1667 | true fdr 0.0000 | true power 0.0375
06-28 07:42 fdr_control  DEBUG    thresh 1.8550 | est fdr 0.1429 | true fdr 0.0000 | true power 0.0437
06-28 07:42 fdr_control  DEBUG    thresh 1.8239 | est fdr 0.1250 | true fdr 0.0000 | true power 0.0500
06-28 07:42 fdr_control  DEBUG    thresh 1.8101 | est fdr 0.1111 | true fdr 0.0000 | true power 0.0563
06-28 07:42 fdr_control  DEBUG    thresh 1.8072 | est fdr 0.1000 | true fdr 0.0000 | true power 0.0625
06-28 07:42 fdr_control  DEBUG    thresh 1.7951 | est fdr 0.0909 | true fdr 0.0000 | true power 0.0688
06-28 07:42 fdr_control  DEBUG    thresh 1.7791 | est fdr 0.0833 | true fdr 0.0000 | true power 0.0750
06-28 07:42 fdr_control  DEBUG    thresh 1.7633 | est fdr 0.0769 | true fdr 0.0000 | true power 0.0813
06-28 07:42 fdr_control  DEBUG    thresh 1.7603 | est fdr 0.0714 | true fdr 0.0000 | true power 0.0875
06-28 07:42 fdr_control  DEBUG    thresh 1.7546 | est fdr 0.0667 | true fdr 0.0000 | true power 0.0938
06-28 07:42 fdr_control  DEBUG    thresh 1.7360 | est fdr 0.0625 | true fdr 0.0000 | true power 0.1000
06-28 07:42 fdr_control  DEBUG    thresh 1.7357 | est fdr 0.0588 | true fdr 0.0000 | true power 0.1062
06-28 07:42 fdr_control  DEBUG    thresh 1.7330 | est fdr 0.0556 | true fdr 0.0000 | true power 0.1125
06-28 07:42 fdr_control  DEBUG    thresh 1.7192 | est fdr 0.0526 | true fdr 0.0000 | true power 0.1187
06-28 07:42 fdr_control  DEBUG    thresh 1.6983 | est fdr 0.0500 | true fdr 0.0000 | true power 0.1250
06-28 07:42 fdr_control  DEBUG    thresh 1.6811 | est fdr 0.0476 | true fdr 0.0000 | true power 0.1313
06-28 07:42 fdr_control  DEBUG    thresh 1.6756 | est fdr 0.0455 | true fdr 0.0000 | true power 0.1375
06-28 07:42 fdr_control  DEBUG    thresh 1.6620 | est fdr 0.0435 | true fdr 0.0000 | true power 0.1437
06-28 07:42 fdr_control  DEBUG    thresh 1.6577 | est fdr 0.0417 | true fdr 0.0000 | true power 0.1500
06-28 07:42 fdr_control  DEBUG    thresh 1.6309 | est fdr 0.0400 | true fdr 0.0000 | true power 0.1562
06-28 07:42 fdr_control  DEBUG    thresh 1.6204 | est fdr 0.0385 | true fdr 0.0000 | true power 0.1625
06-28 07:42 fdr_control  DEBUG    thresh 1.6198 | est fdr 0.0370 | true fdr 0.0000 | true power 0.1688
06-28 07:42 fdr_control  DEBUG    thresh 1.6198 | est fdr 0.0357 | true fdr 0.0000 | true power 0.1750
06-28 07:42 fdr_control  DEBUG    thresh 1.6107 | est fdr 0.0345 | true fdr 0.0000 | true power 0.1812
06-28 07:42 fdr_control  DEBUG    thresh 1.6069 | est fdr 0.0333 | true fdr 0.0000 | true power 0.1875
06-28 07:42 fdr_control  DEBUG    thresh 1.5989 | est fdr 0.0323 | true fdr 0.0000 | true power 0.1938
06-28 07:42 fdr_control  DEBUG    thresh 1.5897 | est fdr 0.0312 | true fdr 0.0000 | true power 0.2000
06-28 07:42 fdr_control  DEBUG    thresh 1.5764 | est fdr 0.0303 | true fdr 0.0000 | true power 0.2062
06-28 07:42 fdr_control  DEBUG    thresh 1.5684 | est fdr 0.0294 | true fdr 0.0000 | true power 0.2125
06-28 07:42 fdr_control  DEBUG    thresh 1.5638 | est fdr 0.0286 | true fdr 0.0000 | true power 0.2188
06-28 07:42 fdr_control  DEBUG    thresh 1.5599 | est fdr 0.0278 | true fdr 0.0000 | true power 0.2250
06-28 07:42 fdr_control  DEBUG    thresh 1.5534 | est fdr 0.0270 | true fdr 0.0000 | true power 0.2313
06-28 07:42 fdr_control  DEBUG    thresh 1.5497 | est fdr 0.0263 | true fdr 0.0000 | true power 0.2375
06-28 07:42 fdr_control  DEBUG    thresh 1.5339 | est fdr 0.0256 | true fdr 0.0000 | true power 0.2437
06-28 07:42 fdr_control  DEBUG    thresh 1.5298 | est fdr 0.0250 | true fdr 0.0000 | true power 0.2500
06-28 07:42 fdr_control  DEBUG    thresh 1.5172 | est fdr 0.0244 | true fdr 0.0000 | true power 0.2562
06-28 07:42 fdr_control  DEBUG    thresh 1.4924 | est fdr 0.0238 | true fdr 0.0000 | true power 0.2625
06-28 07:42 fdr_control  DEBUG    thresh 1.4896 | est fdr 0.0233 | true fdr 0.0000 | true power 0.2687
06-28 07:42 fdr_control  DEBUG    thresh 1.4829 | est fdr 0.0227 | true fdr 0.0000 | true power 0.2750
06-28 07:42 fdr_control  DEBUG    thresh 1.4749 | est fdr 0.0222 | true fdr 0.0000 | true power 0.2812
06-28 07:42 fdr_control  DEBUG    thresh 1.4721 | est fdr 0.0217 | true fdr 0.0000 | true power 0.2875
06-28 07:42 fdr_control  DEBUG    thresh 1.4689 | est fdr 0.0213 | true fdr 0.0000 | true power 0.2938
06-28 07:42 fdr_control  DEBUG    thresh 1.4685 | est fdr 0.0208 | true fdr 0.0000 | true power 0.3000
06-28 07:42 fdr_control  DEBUG    thresh 1.4552 | est fdr 0.0204 | true fdr 0.0000 | true power 0.3063
06-28 07:42 fdr_control  DEBUG    thresh 1.4462 | est fdr 0.0200 | true fdr 0.0000 | true power 0.3125
06-28 07:42 fdr_control  DEBUG    thresh 1.4224 | est fdr 0.0196 | true fdr 0.0000 | true power 0.3187
06-28 07:42 fdr_control  DEBUG    thresh 1.4218 | est fdr 0.0192 | true fdr 0.0000 | true power 0.3250
06-28 07:42 fdr_control  DEBUG    thresh 1.4186 | est fdr 0.0189 | true fdr 0.0000 | true power 0.3312
06-28 07:42 fdr_control  DEBUG    thresh 1.4171 | est fdr 0.0185 | true fdr 0.0000 | true power 0.3375
06-28 07:42 fdr_control  DEBUG    thresh 1.3745 | est fdr 0.0182 | true fdr 0.0000 | true power 0.3438
06-28 07:42 fdr_control  DEBUG    thresh 1.3653 | est fdr 0.0179 | true fdr 0.0000 | true power 0.3500
06-28 07:42 fdr_control  DEBUG    thresh 1.3598 | est fdr 0.0175 | true fdr 0.0000 | true power 0.3563
06-28 07:42 fdr_control  DEBUG    thresh 1.3592 | est fdr 0.0172 | true fdr 0.0000 | true power 0.3625
06-28 07:42 fdr_control  DEBUG    thresh 1.3409 | est fdr 0.0169 | true fdr 0.0000 | true power 0.3688
06-28 07:42 fdr_control  DEBUG    thresh 1.3264 | est fdr 0.0167 | true fdr 0.0000 | true power 0.3750
06-28 07:42 fdr_control  DEBUG    thresh 1.3257 | est fdr 0.0164 | true fdr 0.0000 | true power 0.3812
06-28 07:42 fdr_control  DEBUG    thresh 1.3223 | est fdr 0.0161 | true fdr 0.0000 | true power 0.3875
06-28 07:42 fdr_control  DEBUG    thresh 1.3084 | est fdr 0.0159 | true fdr 0.0000 | true power 0.3937
06-28 07:42 fdr_control  DEBUG    thresh 1.3042 | est fdr 0.0156 | true fdr 0.0000 | true power 0.4000
06-28 07:42 fdr_control  DEBUG    thresh 1.2852 | est fdr 0.0154 | true fdr 0.0000 | true power 0.4062
06-28 07:42 fdr_control  DEBUG    thresh 1.2642 | est fdr 0.0152 | true fdr 0.0000 | true power 0.4125
06-28 07:42 fdr_control  DEBUG    thresh 1.2425 | est fdr 0.0149 | true fdr 0.0000 | true power 0.4188
06-28 07:42 fdr_control  DEBUG    thresh 1.2201 | est fdr 0.0147 | true fdr 0.0000 | true power 0.4250
