06-28 07:41 __main__     INFO     configs
06-28 07:41 __main__     INFO     {'abs_selection': False,
 'abs_t_list': True,
 'control_type': 'type_3_global',
 'd': 40,
 'dag_control': 'None',
 'dagma_type': 'dagma_1',
 'device': 'cuda:7',
 'est_type': 'tau+',
 'fdr': 0.2,
 'graph_type': 'ER',
 'log_file': 'log_30/log_40',
 'n': 2000,
 'numeric': False,
 'numeric_precision': '1e-1',
 'root_path': 'simulated_data/v11',
 's0': 160,
 'seed_X': 1,
 'seed_knockoff_list': [1,
                        2,
                        3,
                        4,
                        5,
                        6,
                        7,
                        8,
                        9,
                        10],
 'seed_model_list': [0],
 'sem_type': 'gauss',
 'version': 40}

06-28 07:41 utils        DEBUG    load X with seed 1 in simulated_data/v11/v40/X
06-28 07:41 __main__     INFO     knockoff: 1 | model: 0
06-28 07:41 utils        DEBUG    load W with seed 1_0 in simulated_data/v11/v40/W
06-28 07:41 fdr_control  INFO     ==============================
06-28 07:41 fdr_control  INFO     expected FDR 0.2
06-28 07:41 fdr_control  DEBUG    thresh 1.4748 | est fdr 0.0222 | true fdr 0.0000 | true power 0.2812
06-28 07:41 fdr_control  DEBUG    thresh 1.4717 | est fdr 0.0217 | true fdr 0.0000 | true power 0.2875
06-28 07:41 fdr_control  DEBUG    thresh 1.4697 | est fdr 0.0213 | true fdr 0.0000 | true power 0.2938
06-28 07:41 fdr_control  DEBUG    thresh 1.4563 | est fdr 0.0208 | true fdr 0.0000 | true power 0.3000
06-28 07:41 fdr_control  DEBUG    thresh 1.4480 | est fdr 0.0204 | true fdr 0.0000 | true power 0.3063
06-28 07:41 fdr_control  DEBUG    thresh 1.4234 | est fdr 0.0200 | true fdr 0.0000 | true power 0.3125
06-28 07:41 fdr_control  DEBUG    thresh 1.4226 | est fdr 0.0196 | true fdr 0.0000 | true power 0.3187
06-28 07:41 fdr_control  DEBUG    thresh 1.4190 | est fdr 0.0192 | true fdr 0.0000 | true power 0.3250
06-28 07:41 fdr_control  DEBUG    thresh 1.4187 | est fdr 0.0189 | true fdr 0.0000 | true power 0.3312
06-28 07:41 fdr_control  DEBUG    thresh 1.4164 | est fdr 0.0185 | true fdr 0.0000 | true power 0.3375
06-28 07:41 fdr_control  DEBUG    thresh 1.3988 | est fdr 0.0182 | true fdr 0.0000 | true power 0.3438
06-28 07:41 fdr_control  DEBUG    thresh 1.3745 | est fdr 0.0179 | true fdr 0.0000 | true power 0.3500
06-28 07:41 fdr_control  DEBUG    thresh 1.3655 | est fdr 0.0175 | true fdr 0.0000 | true power 0.3563
06-28 07:41 fdr_control  DEBUG    thresh 1.3589 | est fdr 0.0172 | true fdr 0.0000 | true power 0.3625
06-28 07:41 fdr_control  DEBUG    thresh 1.3391 | est fdr 0.0169 | true fdr 0.0000 | true power 0.3688
06-28 07:41 fdr_control  DEBUG    thresh 1.3276 | est fdr 0.0167 | true fdr 0.0000 | true power 0.3750
06-28 07:41 fdr_control  DEBUG    thresh 1.3265 | est fdr 0.0164 | true fdr 0.0000 | true power 0.3812
06-28 07:41 fdr_control  DEBUG    thresh 1.3250 | est fdr 0.0161 | true fdr 0.0000 | true power 0.3875
06-28 07:41 fdr_control  DEBUG    thresh 1.3187 | est fdr 0.0159 | true fdr 0.0000 | true power 0.3937
06-28 07:41 fdr_control  DEBUG    thresh 1.3086 | est fdr 0.0156 | true fdr 0.0000 | true power 0.4000
06-28 07:41 fdr_control  DEBUG    thresh 1.3042 | est fdr 0.0154 | true fdr 0.0000 | true power 0.4062
06-28 07:41 fdr_control  DEBUG    thresh 1.2643 | est fdr 0.0152 | true fdr 0.0000 | true power 0.4125
06-28 07:41 fdr_control  DEBUG    thresh 1.2425 | est fdr 0.0149 | true fdr 0.0000 | true power 0.4188
06-28 07:41 fdr_control  DEBUG    thresh 1.2195 | est fdr 0.0147 | true fdr 0.0000 | true power 0.4250
06-28 07:41 fdr_control  DEBUG    thresh 1.2194 | est fdr 0.0145 | true fdr 0.0000 | true power 0.4313
06-28 07:41 fdr_control  DEBUG    thresh 1.2131 | est fdr 0.0143 | true fdr 0.0000 | true power 0.4375
06-28 07:41 fdr_control  DEBUG    thresh 1.2062 | est fdr 0.0141 | true fdr 0.0000 | true power 0.4437
06-28 07:41 fdr_control  DEBUG    thresh 1.1757 | est fdr 0.0139 | true fdr 0.0000 | true power 0.4500
06-28 07:41 fdr_control  DEBUG    thresh 1.1723 | est fdr 0.0137 | true fdr 0.0000 | true power 0.4562
